"area","year","age","habitat","watercraft","wcs","debris","cold","redtide","other","undetermined","total"
"NW",2009,"Calves","Low",1,0,0,0,0,5,6,6
"SW",2009,"Calves","Low",2,0,0,0,0,3,5,5
"ATL",2010,"Calves","Low",12,2,0,5,0,18,37,37
"USJ",2010,"Calves","Low",8,4,2,17,0,3,34,34
"NW",2010,"Calves","Low",14,1,2,4,0,8,29,29
"SW",2010,"Calves","Low",13,0,0,5,0,14,32,32
"ATL",2011,"Calves","Low",1,0,1,0,0,4,6,6
"USJ",2011,"Calves","Low",3,1,0,4,0,0,8,8
"NW",2011,"Calves","Low",3,0,0,3,0,0,6,6
"SW",2011,"Calves","Low",1,0,0,1,0,1,3,3
"ATL",2012,"Calves","Low",2,2,0,4,0,2,10,10
"USJ",2012,"Calves","Low",2,0,1,1,0,0,4,4
"NW",2012,"Calves","Low",0,0,0,2,1,5,8,8
"SW",2012,"Calves","Low",9,0,0,1,0,1,11,11
"ATL",2013,"Calves","Low",3,0,0,3,0,2,8,8
"USJ",2013,"Calves","Low",1,1,0,5,0,1,8,8
"NW",2013,"Calves","Low",1,0,0,0,0,0,1,1
"SW",2013,"Calves","Low",13,0,0,0,2,3,18,18
"ATL",1996,"Subadults","Low",0,0,0,1,0,1,2,2
"USJ",1996,"Subadults","Low",0,0,0,0,0,0,0,0
"NW",1996,"Subadults","Low",2,0,0,0,0,0,2,2
"SW",1996,"Subadults","Low",3,0,1,0,0,2,6,6
"ATL",1997,"Subadults","Low",0,0,0,0,0,0,0,0
"USJ",1997,"Subadults","Low",0,0,0,0,0,0,0,0
"NW",1997,"Subadults","Low",0,0,0,0,0,1,1,1
"SW",1997,"Subadults","Low",1,0,0,0,0,0,1,1
"ATL",1998,"Subadults","Low",0,0,0,0,0,0,0,0
"USJ",1998,"Subadults","Low",0,0,0,0,0,0,0,0
"NW",1998,"Subadults","Low",2,0,0,0,0,1,3,3
"SW",1998,"Subadults","Low",0,0,0,0,0,0,0,0
"ATL",1999,"Subadults","Low",2,0,0,0,0,1,3,3
"USJ",1999,"Subadults","Low",1,0,0,1,0,0,2,2
"NW",1999,"Subadults","Low",0,0,0,0,0,0,0,0
"SW",1999,"Subadults","Low",2,0,0,0,0,0,2,2
"ATL",2000,"Subadults","Low",0,1,0,0,0,3,4,4
"USJ",2000,"Subadults","Low",0,0,0,0,0,0,0,0
"NW",2000,"Subadults","Low",0,0,1,0,1,0,2,2
"SW",2000,"Subadults","Low",0,0,0,0,0,0,0,0
"ATL",2001,"Subadults","Low",0,0,0,1,0,3,4,4
"USJ",2001,"Subadults","Low",0,0,0,0,0,0,0,0
"NW",2001,"Subadults","Low",1,0,0,0,0,0,1,1
"SW",2001,"Subadults","Low",0,0,0,0,0,2,2,2
"ATL",2002,"Subadults","Low",0,0,0,1,0,0,1,1
"USJ",2002,"Subadults","Low",0,0,0,0,0,0,0,0
"NW",2002,"Subadults","Low",1,0,0,0,0,1,2,2
"SW",2002,"Subadults","Low",4,0,0,0,0,1,5,5
"ATL",2003,"Subadults","Low",0,0,0,1,0,0,1,1
"USJ",2003,"Subadults","Low",1,0,0,0,0,0,1,1
"NW",2003,"Subadults","Low",3,0,0,0,0,2,5,5
"SW",2003,"Subadults","Low",1,0,0,0,0,0,1,1
"ATL",2004,"Subadults","Low",0,0,0,1,0,0,1,1
"USJ",2004,"Subadults","Low",1,0,0,1,0,0,2,2
"NW",2004,"Subadults","Low",0,0,0,0,0,0,0,0
"SW",2004,"Subadults","Low",1,0,0,0,0,0,1,1
"ATL",2005,"Subadults","Low",0,0,0,1,0,0,1,1
"USJ",2005,"Subadults","Low",1,0,0,0,0,0,1,1
"NW",2005,"Subadults","Low",1,0,0,0,0,0,1,1
"SW",2005,"Subadults","Low",2,0,0,0,0,0,2,2
"ATL",2006,"Subadults","Low",0,0,0,0,0,0,0,0
"USJ",2006,"Subadults","Low",1,0,0,0,0,0,1,1
"NW",2006,"Subadults","Low",0,0,0,0,0,0,0,0
"SW",2006,"Subadults","Low",0,0,0,0,0,1,1,1
"ATL",2007,"Subadults","Low",0,0,0,1,0,1,2,2
"USJ",2007,"Subadults","Low",1,0,0,0,0,0,1,1
"NW",2007,"Subadults","Low",0,0,0,0,0,1,1,1
"SW",2007,"Subadults","Low",0,0,0,0,0,0,0,0
"ATL",2008,"Subadults","Low",1,0,0,1,0,1,3,3
"USJ",2008,"Subadults","Low",0,0,0,0,0,0,0,0
"NW",2008,"Subadults","Low",0,0,0,0,0,0,0,0
"SW",2008,"Subadults","Low",0,1,0,0,0,1,2,2
"ATL",2009,"Subadults","Low",0,0,0,1,0,0,1,1
"USJ",2009,"Subadults","Low",0,1,1,1,0,0,3,3
"NW",2009,"Subadults","Low",0,0,0,0,0,1,1,1
"SW",2009,"Subadults","Low",2,1,0,0,0,0,3,3
"ATL",2010,"Subadults","Low",3,0,0,1,0,2,6,6
"USJ",2010,"Subadults","Low",2,0,2,2,0,0,6,6
"NW",2010,"Subadults","Low",5,0,0,0,0,2,7,7
"SW",2010,"Subadults","Low",2,0,0,0,0,1,3,3
"ATL",2011,"Subadults","Low",1,0,0,0,0,3,4,4
"USJ",2011,"Subadults","Low",1,0,0,0,0,0,1,1
"NW",2011,"Subadults","Low",1,0,0,0,0,0,1,1
"SW",2011,"Subadults","Low",1,0,0,0,1,1,3,3
"ATL",2012,"Subadults","Low",0,0,0,0,0,0,0,0
"USJ",2012,"Subadults","Low",2,0,0,0,0,0,2,2
"NW",2012,"Subadults","Low",1,0,0,0,0,1,2,2
"SW",2012,"Subadults","Low",2,0,0,0,1,1,4,4
"ATL",2013,"Subadults","Low",0,0,0,0,0,0,0,0
"USJ",2013,"Subadults","Low",0,0,0,0,0,0,0,0
"NW",2013,"Subadults","Low",0,0,0,1,0,0,1,1
"SW",2013,"Subadults","Low",4,0,0,0,1,1,6,6
"ATL",1996,"Adults","Low",0,0,0,1,0,2,3,3
"USJ",1996,"Adults","Low",0,0,0,0,0,0,0,0
"NW",1996,"Adults","Low",0,0,0,0,0,0,0,0
"SW",1996,"Adults","Low",2,0,0,0,0,4,6,6
"ATL",1997,"Adults","Low",2,0,0,0,0,0,2,2
"USJ",1997,"Adults","Low",0,0,0,0,0,0,0,0
"NW",1997,"Adults","Low",0,0,0,0,0,1,1,1
"SW",1997,"Adults","Low",0,0,0,0,0,0,0,0
"ATL",1998,"Adults","Low",1,0,0,0,0,1,2,2
"USJ",1998,"Adults","Low",0,0,0,0,0,0,0,0
"NW",1998,"Adults","Low",1,0,0,0,0,0,1,1
"SW",1998,"Adults","Low",0,0,0,0,0,0,0,0
"ATL",1999,"Adults","Low",0,0,0,0,0,0,0,0
"USJ",1999,"Adults","Low",3,0,0,2,0,0,5,5
"NW",1999,"Adults","Low",0,0,0,1,0,0,1,1
"SW",1999,"Adults","Low",1,0,0,0,0,1,2,2
"ATL",2000,"Adults","Low",0,0,0,1,0,0,1,1
"USJ",2000,"Adults","Low",1,0,0,0,0,0,1,1
"NW",2000,"Adults","Low",0,0,0,0,0,0,0,0
"SW",2000,"Adults","Low",0,0,0,0,0,0,0,0
"ATL",2001,"Adults","Low",0,0,0,0,0,0,0,0
"USJ",2001,"Adults","Low",0,0,0,0,0,0,0,0
"NW",2001,"Adults","Low",2,0,0,0,0,0,2,2
"SW",2001,"Adults","Low",1,0,0,0,0,0,1,1
"ATL",2002,"Adults","Low",2,0,0,0,0,0,2,2
"USJ",2002,"Adults","Low",0,0,0,0,0,0,0,0
"NW",2002,"Adults","Low",0,0,1,0,0,0,1,1
"SW",2002,"Adults","Low",1,0,0,0,0,0,1,1
"ATL",2003,"Adults","Low",0,0,0,0,0,0,0,0
"USJ",2003,"Adults","Low",2,0,0,0,0,0,2,2
"NW",2003,"Adults","Low",1,0,0,0,0,1,2,2
"SW",2003,"Adults","Low",1,0,0,0,0,3,4,4
"ATL",2004,"Adults","Low",0,0,0,0,0,0,0,0
"USJ",2004,"Adults","Low",0,0,0,0,0,0,0,0
"NW",2004,"Adults","Low",0,0,0,0,0,0,0,0
"SW",2004,"Adults","Low",0,0,0,0,0,0,0,0
"ATL",2005,"Adults","Low",0,0,0,0,0,1,1,1
"USJ",2005,"Adults","Low",3,0,1,0,0,0,4,4
"NW",2005,"Adults","Low",1,0,0,0,0,0,1,1
"SW",2005,"Adults","Low",0,0,0,0,0,1,1,1
"ATL",2006,"Adults","Low",0,0,0,1,0,0,1,1
"USJ",2006,"Adults","Low",2,1,0,0,0,0,3,3
"NW",2006,"Adults","Low",1,0,0,0,0,0,1,1
"SW",2006,"Adults","Low",2,0,0,0,0,1,3,3
"ATL",2007,"Adults","Low",0,0,0,1,0,0,1,1
"USJ",2007,"Adults","Low",0,0,0,0,0,1,1,1
"NW",2007,"Adults","Low",1,0,0,0,0,0,1,1
"SW",2007,"Adults","Low",0,1,0,0,0,0,1,1
"ATL",2008,"Adults","Low",0,0,0,0,0,1,1,1
"USJ",2008,"Adults","Low",0,0,0,1,0,0,1,1
"NW",2008,"Adults","Low",2,0,0,0,0,2,4,4
"SW",2008,"Adults","Low",0,0,0,0,0,0,0,0
"ATL",2009,"Adults","Low",0,0,0,0,0,0,0,0
"USJ",2009,"Adults","Low",0,0,0,1,0,0,1,1
"NW",2009,"Adults","Low",0,0,0,0,0,0,0,0
"SW",2009,"Adults","Low",0,0,0,0,0,0,0,0
"ATL",2010,"Adults","Low",3,0,0,0,0,0,3,3
"USJ",2010,"Adults","Low",2,0,0,4,0,1,7,7
"NW",2010,"Adults","Low",0,1,0,0,0,1,2,2
"SW",2010,"Adults","Low",1,0,0,1,0,1,3,3
"ATL",2011,"Adults","Low",0,0,0,0,0,0,0,0
"USJ",2011,"Adults","Low",0,0,0,0,0,0,0,0
"NW",2011,"Adults","Low",0,0,0,1,0,0,1,1
"SW",2011,"Adults","Low",0,0,0,0,0,0,0,0
"ATL",2012,"Adults","Low",0,0,0,0,0,0,0,0
"USJ",2012,"Adults","Low",1,0,0,0,0,0,1,1
"NW",2012,"Adults","Low",1,0,0,0,0,0,1,1
"SW",2012,"Adults","Low",1,0,0,0,0,0,1,1
"ATL",2013,"Adults","Low",1,0,0,0,0,0,1,1
"USJ",2013,"Adults","Low",1,1,1,1,0,0,4,4
"NW",2013,"Adults","Low",0,0,0,2,0,0,2,2
"SW",2013,"Adults","Low",2,0,0,0,1,0,3,3
"ATL",1996,"Calves","Medium",3,0,0,2,0,1,6,6
"USJ",1996,"Calves","Medium",2,1,0,0,0,0,3,3
"NW",1996,"Calves","Medium",2,0,0,1,0,3,6,6
"SW",1996,"Calves","Medium",9,1,0,6,2,4,22,22
"ATL",1997,"Calves","Medium",2,1,0,3,0,3,9,9
"USJ",1997,"Calves","Medium",3,0,0,0,0,0,3,3
"NW",1997,"Calves","Medium",1,0,0,1,0,0,2,2
"SW",1997,"Calves","Medium",3,0,0,0,0,1,4,4
"ATL",1998,"Calves","Medium",0,0,0,1,0,1,2,2
"USJ",1998,"Calves","Medium",2,0,0,1,0,0,3,3
"NW",1998,"Calves","Medium",2,1,0,1,0,0,4,4
"SW",1998,"Calves","Medium",1,0,0,1,0,0,2,2
"ATL",1999,"Calves","Medium",4,0,0,1,0,2,7,7
"USJ",1999,"Calves","Medium",1,1,0,1,0,1,4,4
"NW",1999,"Calves","Medium",1,0,0,0,0,0,1,1
"SW",1999,"Calves","Medium",4,0,0,1,0,1,6,6
"ATL",2000,"Calves","Medium",2,0,0,0,0,0,2,2
"USJ",2000,"Calves","Medium",0,0,0,2,0,0,2,2
"NW",2000,"Calves","Medium",0,0,0,0,0,3,3,3
"SW",2000,"Calves","Medium",1,0,0,0,0,0,1,1
"ATL",2001,"Calves","Medium",2,0,0,0,0,2,4,4
"USJ",2001,"Calves","Medium",1,0,1,0,0,0,2,2
"NW",2001,"Calves","Medium",2,1,0,2,0,2,7,7
"SW",2001,"Calves","Medium",2,0,0,1,0,3,6,6
"ATL",2002,"Calves","Medium",5,0,0,1,1,0,7,7
"USJ",2002,"Calves","Medium",3,0,0,4,0,0,7,7
"NW",2002,"Calves","Medium",0,0,0,1,1,2,4,4
"SW",2002,"Calves","Medium",4,0,0,0,1,2,7,7
"ATL",2003,"Calves","Medium",2,0,0,0,0,2,4,4
"USJ",2003,"Calves","Medium",0,0,0,2,0,0,2,2
"NW",2003,"Calves","Medium",7,1,0,3,0,7,18,18
"SW",2003,"Calves","Medium",5,0,1,1,0,3,10,10
"ATL",2004,"Calves","Medium",3,0,0,0,0,5,8,8
"USJ",2004,"Calves","Medium",2,1,0,1,0,0,4,4
"NW",2004,"Calves","Medium",1,0,0,1,0,0,2,2
"SW",2004,"Calves","Medium",3,0,0,0,1,1,5,5
"ATL",2005,"Calves","Medium",3,0,0,0,0,0,3,3
"USJ",2005,"Calves","Medium",2,0,0,1,0,0,3,3
"NW",2005,"Calves","Medium",3,0,0,0,0,1,4,4
"SW",2005,"Calves","Medium",2,0,0,0,0,1,3,3
"ATL",2006,"Calves","Medium",2,0,0,0,0,1,3,3
"USJ",2006,"Calves","Medium",3,0,1,1,0,0,5,5
"NW",2006,"Calves","Medium",1,0,0,3,0,2,6,6
"SW",2006,"Calves","Medium",4,0,0,0,0,3,7,7
"ATL",2007,"Calves","Medium",2,1,0,0,0,1,4,4
"USJ",2007,"Calves","Medium",1,1,0,5,0,0,7,7
"NW",2007,"Calves","Medium",3,0,0,0,0,2,5,5
"SW",2007,"Calves","Medium",4,0,0,0,0,2,6,6
"ATL",2008,"Calves","Medium",1,0,0,2,0,1,4,4
"USJ",2008,"Calves","Medium",1,0,0,0,0,0,1,1
"NW",2008,"Calves","Medium",4,0,0,3,0,0,7,7
"SW",2008,"Calves","Medium",1,0,0,0,1,1,3,3
"ATL",2009,"Calves","Medium",0,0,0,0,0,3,3,3
"USJ",2009,"Calves","Medium",2,0,0,3,0,0,5,5
"NW",2009,"Calves","Medium",0,0,0,1,0,1,2,2
"SW",2009,"Calves","Medium",1,0,0,1,0,0,2,2
"ATL",2010,"Calves","Medium",5,0,0,6,0,10,21,21
"USJ",2010,"Calves","Medium",7,0,2,8,0,1,18,18
"NW",2010,"Calves","Medium",4,1,1,11,0,7,24,24
"SW",2010,"Calves","Medium",6,1,0,5,2,13,27,27
"ATL",2011,"Calves","Medium",3,0,0,3,1,1,8,8
"USJ",2011,"Calves","Medium",6,2,1,2,0,1,12,12
"NW",2011,"Calves","Medium",0,0,0,1,0,2,3,3
"SW",2011,"Calves","Medium",2,0,0,2,1,0,5,5
"ATL",2012,"Calves","Medium",0,0,0,0,0,5,5,5
"USJ",2012,"Calves","Medium",0,0,0,2,0,0,2,2
"NW",2012,"Calves","Medium",4,0,0,0,0,0,4,4
"SW",2012,"Calves","Medium",3,0,0,0,0,3,6,6
"ATL",2013,"Calves","Medium",2,1,0,0,0,1,4,4
"USJ",2013,"Calves","Medium",1,0,0,0,0,1,2,2
"NW",2013,"Calves","Medium",3,0,0,0,0,1,4,4
"SW",2013,"Calves","Medium",8,0,0,1,1,5,15,15
"ATL",1996,"Subadults","Medium",0,0,0,0,0,2,2,2
"USJ",1996,"Subadults","Medium",1,0,0,0,0,0,1,1
"NW",1996,"Subadults","Medium",0,0,0,0,0,0,0,0
"SW",1996,"Subadults","Medium",7,0,0,0,0,4,11,11
"ATL",1997,"Subadults","Medium",2,0,0,0,0,1,3,3
"USJ",1997,"Subadults","Medium",1,0,0,0,0,0,1,1
"NW",1997,"Subadults","Medium",1,0,0,0,0,0,1,1
"SW",1997,"Subadults","Medium",0,0,0,0,0,1,1,1
"ATL",1998,"Subadults","Medium",1,0,0,0,0,1,2,2
"USJ",1998,"Subadults","Medium",0,1,0,0,0,0,1,1
"NW",1998,"Subadults","Medium",0,0,0,1,0,0,1,1
"SW",1998,"Subadults","Medium",0,0,0,0,0,0,0,0
"ATL",1999,"Subadults","Medium",3,0,0,0,0,3,6,6
"USJ",1999,"Subadults","Medium",0,1,0,0,0,0,1,1
"NW",1999,"Subadults","Medium",0,0,0,0,0,1,1,1
"SW",1999,"Subadults","Medium",0,0,0,0,0,1,1,1
"ATL",2000,"Subadults","Medium",3,0,0,0,0,0,3,3
"USJ",2000,"Subadults","Medium",0,0,0,0,0,0,0,0
"NW",2000,"Subadults","Medium",0,0,0,0,0,0,0,0
"SW",2000,"Subadults","Medium",0,0,0,0,0,0,0,0
"ATL",2001,"Subadults","Medium",0,0,0,0,0,0,0,0
"USJ",2001,"Subadults","Medium",2,0,0,0,0,0,2,2
"NW",2001,"Subadults","Medium",1,0,0,0,0,0,1,1
"SW",2001,"Subadults","Medium",0,0,0,0,0,0,0,0
"ATL",2002,"Subadults","Medium",0,0,0,0,0,0,0,0
"USJ",2002,"Subadults","Medium",0,0,0,2,0,0,2,2
"NW",2002,"Subadults","Medium",1,0,0,0,0,0,1,1
"SW",2002,"Subadults","Medium",0,0,0,0,0,2,2,2
"ATL",2003,"Subadults","Medium",0,0,0,0,0,1,1,1
"USJ",2003,"Subadults","Medium",0,0,0,0,0,0,0,0
"NW",2003,"Subadults","Medium",2,0,0,4,0,1,7,7
"SW",2003,"Subadults","Medium",0,0,0,0,0,0,0,0
"ATL",2004,"Subadults","Medium",2,0,0,0,0,0,2,2
"USJ",2004,"Subadults","Medium",0,0,0,1,0,0,1,1
"NW",2004,"Subadults","Medium",2,0,0,0,0,0,2,2
"SW",2004,"Subadults","Medium",0,0,0,0,0,0,0,0
"ATL",2005,"Subadults","Medium",0,0,1,1,0,0,2,2
"USJ",2005,"Subadults","Medium",1,0,0,0,0,0,1,1
"NW",2005,"Subadults","Medium",0,0,0,1,0,0,1,1
"SW",2005,"Subadults","Medium",0,0,0,1,1,0,2,2
"ATL",2006,"Subadults","Medium",0,0,0,0,0,0,0,0
"USJ",2006,"Subadults","Medium",0,0,0,1,0,0,1,1
"NW",2006,"Subadults","Medium",2,0,0,0,0,0,2,2
"SW",2006,"Subadults","Medium",0,0,0,0,0,0,0,0
"ATL",2007,"Subadults","Medium",1,0,0,0,0,1,2,2
"USJ",2007,"Subadults","Medium",1,0,0,0,0,0,1,1
"NW",2007,"Subadults","Medium",0,0,0,0,0,0,0,0
"SW",2007,"Subadults","Medium",0,0,0,0,0,0,0,0
"ATL",2008,"Subadults","Medium",0,0,0,0,0,1,1,1
"USJ",2008,"Subadults","Medium",0,0,0,0,0,0,0,0
"NW",2008,"Subadults","Medium",0,0,0,0,0,0,0,0
"SW",2008,"Subadults","Medium",0,0,0,0,0,0,0,0
"ATL",2009,"Subadults","Medium",0,0,0,0,0,0,0,0
"USJ",2009,"Subadults","Medium",2,0,0,0,0,0,2,2
"NW",2009,"Subadults","Medium",3,0,0,0,0,0,3,3
"SW",2009,"Subadults","Medium",1,0,0,0,0,0,1,1
"ATL",2010,"Subadults","Medium",3,0,0,1,0,2,6,6
"USJ",2010,"Subadults","Medium",3,0,0,2,0,1,6,6
"NW",2010,"Subadults","Medium",2,0,0,0,0,1,3,3
"SW",2010,"Subadults","Medium",2,1,0,0,0,2,5,5
"ATL",2011,"Subadults","Medium",0,0,0,2,0,1,3,3
"USJ",2011,"Subadults","Medium",0,0,1,1,0,0,2,2
"NW",2011,"Subadults","Medium",0,0,0,0,0,0,0,0
"SW",2011,"Subadults","Medium",0,0,0,0,1,0,1,1
"ATL",2012,"Subadults","Medium",1,0,0,0,0,0,1,1
"USJ",2012,"Subadults","Medium",0,0,0,1,0,0,1,1
"NW",2012,"Subadults","Medium",0,0,0,0,0,0,0,0
"SW",2012,"Subadults","Medium",0,0,0,0,0,0,0,0
"ATL",2013,"Subadults","Medium",0,0,0,1,0,0,1,1
"USJ",2013,"Subadults","Medium",1,0,1,0,0,0,2,2
"NW",2013,"Subadults","Medium",0,0,0,0,0,1,1,1
"SW",2013,"Subadults","Medium",2,0,0,0,0,0,2,2
"ATL",1996,"Adults","Medium",1,0,0,1,0,0,2,2
"USJ",1996,"Adults","Medium",0,0,0,0,0,0,0,0
"NW",1996,"Adults","Medium",0,0,0,0,0,0,0,0
"SW",1996,"Adults","Medium",4,1,0,0,0,1,6,6
"ATL",1997,"Adults","Medium",0,0,0,0,0,0,0,0
"USJ",1997,"Adults","Medium",0,0,0,0,0,0,0,0
"NW",1997,"Adults","Medium",0,0,0,0,0,0,0,0
"SW",1997,"Adults","Medium",0,1,0,0,0,1,2,2
"ATL",1998,"Adults","Medium",4,0,0,0,0,0,4,4
"USJ",1998,"Adults","Medium",3,0,0,2,0,0,5,5
"NW",1998,"Adults","Medium",1,0,0,1,0,0,2,2
"SW",1998,"Adults","Medium",0,0,0,0,0,1,1,1
"ATL",1999,"Adults","Medium",0,0,0,0,0,0,0,0
"USJ",1999,"Adults","Medium",0,0,0,0,0,0,0,0
"NW",1999,"Adults","Medium",0,0,0,0,0,1,1,1
"SW",1999,"Adults","Medium",1,1,0,0,0,0,2,2
"ATL",2000,"Adults","Medium",0,0,0,0,0,1,1,1
"USJ",2000,"Adults","Medium",1,0,0,0,0,0,1,1
"NW",2000,"Adults","Medium",0,0,0,1,0,0,1,1
"SW",2000,"Adults","Medium",0,0,0,0,0,0,0,0
"ATL",2001,"Adults","Medium",0,0,0,1,0,0,1,1
"USJ",2001,"Adults","Medium",0,0,0,0,0,0,0,0
"NW",2001,"Adults","Medium",1,0,0,0,0,0,1,1
"SW",2001,"Adults","Medium",2,1,0,0,0,0,3,3
"ATL",2002,"Adults","Medium",0,0,0,0,0,0,0,0
"USJ",2002,"Adults","Medium",0,0,0,0,0,0,0,0
"NW",2002,"Adults","Medium",1,0,0,0,0,0,1,1
"SW",2002,"Adults","Medium",0,0,0,0,0,0,0,0
"ATL",2003,"Adults","Medium",1,0,0,1,0,1,3,3
"USJ",2003,"Adults","Medium",1,0,0,0,0,0,1,1
"NW",2003,"Adults","Medium",0,0,1,0,0,0,1,1
"SW",2003,"Adults","Medium",1,0,0,0,0,0,1,1
"ATL",2004,"Adults","Medium",0,0,0,0,0,0,0,0
"USJ",2004,"Adults","Medium",0,0,1,1,0,0,2,2
"NW",2004,"Adults","Medium",0,0,0,0,0,0,0,0
"SW",2004,"Adults","Medium",0,0,0,0,0,0,0,0
"ATL",2005,"Adults","Medium",1,1,0,0,0,0,2,2
"USJ",2005,"Adults","Medium",0,0,0,0,0,0,0,0
"NW",2005,"Adults","Medium",0,0,0,1,0,0,1,1
"SW",2005,"Adults","Medium",1,0,0,0,0,2,3,3
"ATL",2006,"Adults","Medium",0,0,0,0,0,0,0,0
"USJ",2006,"Adults","Medium",0,0,0,0,0,0,0,0
"NW",2006,"Adults","Medium",1,0,0,0,0,1,2,2
"SW",2006,"Adults","Medium",0,0,0,0,0,0,0,0
"ATL",2007,"Adults","Medium",2,0,0,0,0,0,2,2
"USJ",2007,"Adults","Medium",2,0,0,0,0,0,2,2
"NW",2007,"Adults","Medium",1,0,0,0,0,1,2,2
"SW",2007,"Adults","Medium",0,0,0,0,0,0,0,0
"ATL",2008,"Adults","Medium",0,0,0,0,0,0,0,0
"USJ",2008,"Adults","Medium",0,1,0,0,0,0,1,1
"NW",2008,"Adults","Medium",1,0,0,0,0,2,3,3
"SW",2008,"Adults","Medium",1,0,0,0,0,1,2,2
"ATL",2009,"Adults","Medium",0,0,0,0,0,0,0,0
"USJ",2009,"Adults","Medium",1,0,0,0,0,0,1,1
"NW",2009,"Adults","Medium",1,0,0,0,0,0,1,1
"SW",2009,"Adults","Medium",0,0,0,0,0,1,1,1
"ATL",2010,"Adults","Medium",2,0,0,0,0,1,3,3
"USJ",2010,"Adults","Medium",0,1,0,1,0,0,2,2
"NW",2010,"Adults","Medium",1,0,0,1,0,0,2,2
"SW",2010,"Adults","Medium",3,0,0,0,0,1,4,4
"ATL",2011,"Adults","Medium",0,0,0,0,0,1,1,1
"USJ",2011,"Adults","Medium",1,0,0,0,0,0,1,1
"NW",2011,"Adults","Medium",0,0,0,0,0,0,0,0
"SW",2011,"Adults","Medium",1,0,0,0,0,0,1,1
"ATL",2012,"Adults","Medium",0,0,0,0,0,0,0,0
"USJ",2012,"Adults","Medium",1,0,0,0,0,0,1,1
"NW",2012,"Adults","Medium",1,0,0,1,0,1,3,3
"SW",2012,"Adults","Medium",0,0,0,1,0,1,2,2
"ATL",2013,"Adults","Medium",0,0,0,0,0,1,1,1
"USJ",2013,"Adults","Medium",1,0,0,0,0,0,1,1
